 Image Link , Phylum, Size (L), Extinct, Litter Size, Main Prey, Color, Age Of Independence, Scientific Name, Weight, Type, Temperament, Wingspan, Average Size (L), Optimum pH Level, Skin Type, Favourite Food, Water Type, Top Speed, Size, Age Of Sexual Maturity, Incubation Period, Common Name, Biggest Threat, Order, Other Name(s), Lifestyle, Average Weight, Average Lifespan, Family, Average Spawn Size, Lifespan, Prey, Diet, Conservation Status, Size (H), Group Behaviour, Average Litter Size, Animal Name , Location, Kingdom, Average Clutch Size, Estimated Population Size, Fun Fact, Predators, Training, Average Size (H), Gestation Period, Age Of Fledgling, Class, Special Features, Average Size, Subfamily, Name Of Young, Distinctive Features, Age Of Weaning, Most Distinctive Feature, Genus, Habitat, Wing Span, Group, Number Of Species, Origin, Colour, 
https://a-z-animals.com/media/animals/images/470x370/mountain_gorilla3.jpg ,Chordata, , , ,Leaves| Seeds| Herbs, , ,Gorilla Berengei Berengei,204-227kg (450-500lbs),Mammal, , , , ,Hair,Leaves, ,40km/h (25mph),1.5-1.8m (5-6ft), , , , ,Primates, ,Social, , ,Hominidae, ,35-50 years, ,Omnivore,Endangered, , ,1,Mountain Gorilla, ,Animalia, , , ,Human| Leopard, , , , ,Mammalia,Sociable habits and agile hands and feet, , , , , , ,Gorilla,Tropical forest and jungles in mountainous regions, , , , ,Black| Brown| Grey,
https://a-z-animals.com/media/animals/images/470x370/mountain_lion_5.jpg ,Chordata, , ,3,Deer| Elk| Beavers, , ,Felis Concolor,29-90kg (64-198lbs),Mammal, , , , ,Fur,Deer, ,45km/h (30mph),1.5-2.75m (5-9ft), , , , ,Carnivora, ,Solitary, , ,Felidae, ,10-20 years, ,Carnivore,Least Concern, , , ,Mountain Lion, ,Animalia, , , ,Human| Grizzly Bear, , , , ,Mammalia,Powerful forearms and paws and muscular jaw, , , , , , ,Puma,Forest and mountainous regions, , , , ,Tan| Black| Brown,
https://a-z-animals.com/media/animals/images/470x370/mouse1.jpg ,Chordata, , , ,Fruit| Seeds| Grasses, , ,Apodemus Sylvaticus,100-200g (0.2-0.4lbs),Mammal, , , , ,Fur,Fruit, ,12.8km/h (8mph),5-15cm (2-5.9in), , , , ,Rodentia, ,Solitary, , ,Muridae, ,2-5 years, ,Herbivore,Least Concern, , ,6,Mouse, ,Animalia, , , ,Bird| Cat| Fox| Reptiles, , , , ,Mammalia,Large eyes and ears and long thin tail, , , , , , ,Mus,Open fields and woodland areas, , , , ,Black| Brown| Grey,
https://a-z-animals.com/media/animals/images/470x370/mule1.jpg ,Chordata, , , ,Grass| Weeds| Vegetables, , ,Equus Mule,350-450kg (771-992lbs),Mammal, , , , ,Fur,Grass, ,24km/h (15mph),1.2-1.5m (47-59in), , , , ,Perissodactyla, ,Herd, , ,Equidae, ,15-20 years, ,Herbivore,Least Concern, , ,0,Mule, ,Animalia, , , ,Fox| Wolf| Lion, , , , ,Mammalia,Stocky body and long snout and ears, , , , , , ,Equus,Arid forests and deserts, , , , ,Grey| Brown| Black,
https://a-z-animals.com/media/animals/images/470x370/neanderthal.png ,Chordata, , , ,Vegetables| Fruit| Fish, , ,Homo Sapiens Neanderthalensis,60-70kg (132-154lb),Mammal, , , , ,Smooth,Vegetables, ,8km/h (5mph),152-167cm (60-66in), , , , ,Primates, ,Group, , ,Hominidae, ,35-50 years, ,Omnivore,Extinct, , ,1,Neanderthal, ,Animalia, , , ,Bears| Lion| Tiger, , , , ,Mammalia,Walk on two feet and intelligent communications, , , , , , ,Homo,Worldwide based near rivers, , , , ,Brown| Tan| Black| White| Olive,
https://a-z-animals.com/media/animals/images/470x370/neapolitan_mastiff1.jpg , , , , , , , , ,74kg (165lbs), , , , , , , , , ,70cm (28in), , ,Neapolitan Mastiff , , , , , , , , ,10 years, , , , , , ,Neapolitan Mastiff, , , , , , , , , , , , , , , , , , , , , ,Mastiff, ,Italy, ,
https://a-z-animals.com/media/animals/images/470x370/newfoundland3.jpg , , , ,8, , , , ,60kg (130lbs), , , , , , , , , ,71cm (28in), , ,Newfoundland, , , , , , , , ,10 years, , , , , , ,Newfoundland, , , , , , , , , , , , , , , , , , , , , ,Working Dog, ,Canada, ,
https://a-z-animals.com/media/animals/images/470x370/newt1.jpg ,Chordata, , , ,Worms| Insects| Water snails, , ,Lissotriton Vulgaris,10-50g (0.3-1.8oz),Amphibian , , , , ,Scales,Worms, ,42km/h (30mph),5-15cm (1.7-5.9in), , , , ,Caudata, ,Solitary, , ,Salamandridae, ,2-15 years, ,Omnivore,Least Concern, , ,100,Newt, ,Animalia, , , ,Birds| Fox| Reptiles, , , , ,Lissamphibia,Permeable| toxic skin and feathery gills, , , , , , ,Pleurodelinae,Temperate forests and river banks, , , , ,Black| Brown| Grey| Green| Orange| Red| Yellow,
https://a-z-animals.com/media/animals/images/470x370/nightingale1.jpg ,Chordata,14cm - 16.5cm (5.5in - 6.5in), , ,Fruit| Nuts| Seeds| Insects, , ,Luscinia Magarhynchos,15g - 22g (0.5oz - 0.7oz),Bird, ,20cm - 22cm (7.9in - 9in), , ,Feathers,Fruit, ,29km/h (18mph), , , , , ,Passeriformes, ,Solitary, , ,Muscicapidae, ,1 - 3 years, ,Omnivore,Least Concern, , , ,Nightingale, ,Animalia,3, , ,Rats| Cats| Lizards, , , , ,Aves, , , , ,Small body size with no markings and thin beak, , ,Luscinia,Open forests and thickets, , , , ,Brown| Tan,
https://a-z-animals.com/media/animals/images/470x370/norfolk_terrier.jpg , , , , , , , , ,5kg (12lbs), , , , , , , , , ,25cm (10in), , ,Norfolk Terrier, , , , , , , , ,15 years, , , , , , ,Norfolk Terrier, , , , , , , , , , , , , , , , , , , , , ,Terrier, ,Great Britain, ,
https://a-z-animals.com/media/animals/images/470x370/norwegian_forest.jpg , , , , , , , , , , ,Intelligent| loving and affectionate, , , , , , , , , , ,Norwegian Forest , , , , ,10kg (22lbs),15 years, , , , , , , , ,4,Norwegian Forest, , , , , , , , , , , , ,122cm (48in), , , , , , , , ,Longhair, ,Norway,Black| White| Fawn| Brown| Golden,
https://a-z-animals.com/media/animals/images/470x370/numbat2.jpg ,Chordata, , , ,Termites| Ants| Insects, , ,Myrmecobius Fasciatus,280-550g (9.9-19oz),Mammal, , , , ,Fur,Termites, ,24km/h (15mph),35-45cm (13-18in), , , , ,Dasyuromorphia, ,Sociable, , ,Myrmecobiidae, ,4-8 years, ,Omnivore,Endangered, , ,4,Numbat, ,Animalia, , , ,Snakes| Foxes| Birds of Prey , , , , ,Mammalia,Long tail and snout and striped body, , , , , , ,Myrmecobius,Eucalyptus woodland and grassland, , , , ,Black| Brown| Grey| White| Tan| Red,
https://a-z-animals.com/media/animals/images/470x370/nurse_shark3.jpg ,Chordata, , , ,Squid| Fish| Octopus, , ,Ginglymostoma Cirratum,90-150kg (198-330lbs),Fish, , , , ,Smooth,Squid, ,40km/h (25mph),2.5-4.3m (8-14ft), , , , ,Orectolobiformes, ,Solitary, , ,Ginglymostomatidae, ,20-25 years, ,Carnivore,Threatened, , ,20,Nurse Shark, ,Animalia, , , ,Human| Bull Shark| Tiger Shark, , , , ,Chondrichthyes,Rounded dorsal fins and large tail fin, , , , , , ,Ginglymostoma,Warm waters and tropical coastal regions, , , , ,Black| Brown| Grey| White,
https://a-z-animals.com/media/animals/images/470x370/ocelot.jpg ,Chordata,55cm - 100cm (22in - 40in), , , , , ,Leopardus pardalis,11.5kg - 16kg (25lbs - 35lbs), , , , , ,Fur, , ,61kph (38mph), ,2 - 3 years, ,Ocelot,Habitat loss,Carnivora,Painted Leopard,Nocturnal/Crepuscular, , ,Felidae, ,8 - 12 years,Rodents| Lizards| Deer,Carnivore,Least Concern, ,Solitary,2,Ocelot,South America,Animalia, ,800|000,Also known as the Painted Leopard!,Jaguar| Puma| Harpy Eagle, , ,79 - 85 days, ,Mammalia, , , ,Kitten, ,6 weeks,Rosettes| spots and stripes on fur,Leopardus,Tropical jungle| grassland and marshes, ,Mammal,1, ,Tan| Yellow| Red| Grey| Black,
https://a-z-animals.com/media/animals/images/470x370/octopus1.jpg ,Mollusca, , , ,Crabs| Fish| Scallops, , ,Octopus Vulgaris,5-75kg (11-165lbs),Mollusca, , , , ,Smooth,Crabs, ,43km/h (27mph),0.3-4m (1-13ft), , , , ,Octopoda, ,Solitary, , ,Octopodidae, ,2-15 years, ,Omnivore,Least Concern, , ,80,Octopus, ,Animalia, , , ,Eels| Sharks| Dolphins, , , , ,Cephalopoda,Eight tentacles with suckers and ink sack, , , , , , , ,Tropical and temperate waters worldwide, , , , ,Tan| Brown| Red| Orange| Blue| Purple,
https://a-z-animals.com/media/animals/images/470x370/okapi.jpg ,Chordata,1.5m - 2m (4.9ft - 6.5ft), , , , , ,Okapia johnstoni,200kg - 300kg (440lbs - 660lbs), , , , , ,Fur, , ,60kph (37mph, ,2 - 3 years, ,Okapi,Habitat loss,Artiodactyla,Forest Zebra,Diurnal, , ,Giraffidae, ,20 - 30 years,Leaves| Shoots| Fruit,Herbivore,Near Threatened, ,Solitary,1,Okapi,central Africa,Animalia, ,22|000,Eats more than 100 different types of plant!,Leopard| Serval| Human, , ,15 months, ,Mammalia, , , ,Calf, ,6 months,Horizontal white stripes on rear and legs,Okapia,Dense mountain rainforest, ,Mammal,1, ,Red| Brown| Black| White,
https://a-z-animals.com/media/animals/images/470x370/old_english_sheepdog.jpg , , , , , , , , ,30kg (66lbs), , , , , , , , , ,58cm (22in), , ,Old English Sheepdog, , , , , , , , ,12 years, , , , , , ,Old English Sheepdog, , , , , , , , , , , , , , , , , , , , , ,Herd, ,Great Britain, ,
https://a-z-animals.com/media/animals/images/470x370/olm_6.jpg ,Chordata,2.5cm - 30cm (0.9in - 12in), , ,Insects| Worms| Snails, , ,Proteus Anguinus,2g - 150g (0.07oz - 5.3oz),Amphibian, , , , ,Permeable,Insects, ,8km/h (5mph), , , , , ,Caudata, ,Solitary, , ,Proteidae, ,10 - 50 years, ,Carnivore,Threatened, , , ,Olm, ,Animalia,10, , ,Fish| Toads| Birds, , , , ,Amphibia, , , , ,Elongated body and undeveloped limbs, , ,Proteus,Underground watery caves, , , , ,Pink| White| Peach,
